player_name,league,role,cluster,cluster_name
DE Bollinger,BBL,Bowler,2,Developing Bowlers
DE Bollinger,IPL,Bowler,3,"Economical Bowlers, Low Recent Activity"
DE Johnson,CPL,Bowler,3,"Economical Bowlers, Low Recent Activity"
DJ Wainwright,T20_Blast,Bowler,2,Developing Bowlers
DJ Willey,BBL,Bowler,3,"Economical Bowlers, Low Recent Activity"
DJ Willey,IPL,Bowler,2,Developing Bowlers
DJ Willey,PSL,Bowler,1,Recent-Form Strike Bowlers
DJ Worrall,BBL,Bowler,3,"Economical Bowlers, Low Recent Activity"
DJ Worrall,T20_Blast,Bowler,2,Developing Bowlers
DJG Sammy,T20_Blast,Bowler,2,Developing Bowlers
DJM Moody,BBL,Bowler,2,Developing Bowlers
DL Chahar,IPL,Bowler,0,Experienced Wicket-Takers
DL Vettori,BBL,Bowler,3,"Economical Bowlers, Low Recent Activity"
DL Vettori,CPL,Bowler,3,"Economical Bowlers, Low Recent Activity"
DL Vettori,IPL,Bowler,3,"Economical Bowlers, Low Recent Activity"
DP Nannes,BBL,Bowler,3,"Economical Bowlers, Low Recent Activity"
DP Nannes,IPL,Bowler,3,"Economical Bowlers, Low Recent Activity"
DP Nannes,T20_Blast,Bowler,3,"Economical Bowlers, Low Recent Activity"
DR Briggs,BBL,Bowler,3,"Economical Bowlers, Low Recent Activity"
DR Briggs,T20_Blast,Bowler,0,Experienced Wicket-Takers
DR Sams,IPL,Bowler,2,Developing Bowlers
DS Kulkarni,IPL,Bowler,0,Experienced Wicket-Takers
DT Christian,PSL,Bowler,2,Developing Bowlers
DW Steyn,IPL,Bowler,0,Experienced Wicket-Takers
DY Pennington,T20_Blast,Bowler,0,Experienced Wicket-Takers
DYA Davis,CPL,Bowler,3,"Economical Bowlers, Low Recent Activity"
Dilbar Hussain,PSL,Bowler,1,Recent-Form Strike Bowlers
F O'Neill,BBL,Bowler,3,"Economical Bowlers, Low Recent Activity"
FH Edwards,CPL,Bowler,3,"Economical Bowlers, Low Recent Activity"
FH Edwards,T20_Blast,Bowler,3,"Economical Bowlers, Low Recent Activity"
FJ Heldreich,T20_Blast,Bowler,1,Recent-Form Strike Bowlers
FJ Klaassen,T20_Blast,Bowler,0,Experienced Wicket-Takers
Faheem Ashraf,T20_Blast,Bowler,3,"Economical Bowlers, Low Recent Activity"
Fawad Ahmed,BBL,Bowler,0,Experienced Wicket-Takers
Fawad Ahmed,CPL,Bowler,3,"Economical Bowlers, Low Recent Activity"
Fawad Ahmed,PSL,Bowler,1,Recent-Form Strike Bowlers
G Coetzee,IPL,Bowler,1,Recent-Form Strike Bowlers
G Motie,CPL,Bowler,0,Experienced Wicket-Takers
GA Edwards,T20_Blast,Bowler,3,"Economical Bowlers, Low Recent Activity"
GB Hogg,BBL,Bowler,3,"Economical Bowlers, Low Recent Activity"
GB Hogg,IPL,Bowler,3,"Economical Bowlers, Low Recent Activity"
GC Viljoen,T20_Blast,Bowler,3,"Economical Bowlers, Low Recent Activity"
GD Elliott,PSL,Bowler,3,"Economical Bowlers, Low Recent Activity"
GD McGrath,IPL,Bowler,3,"Economical Bowlers, Low Recent Activity"
GE Mathurin,CPL,Bowler,3,"Economical Bowlers, Low Recent Activity"
GH Rhodes,T20_Blast,Bowler,2,Developing Bowlers
GHS Garton,BBL,Bowler,2,Developing Bowlers
GJ Batty,T20_Blast,Bowler,0,Experienced Wicket-Takers
GJ McCarter,T20_Blast,Bowler,3,"Economical Bowlers, Low Recent Activity"
GLS Scrimshaw,T20_Blast,Bowler,1,Recent-Form Strike Bowlers
GR Breese,T20_Blast,Bowler,3,"Economical Bowlers, Low Recent Activity"
GR Napier,T20_Blast,Bowler,3,"Economical Bowlers, Low Recent Activity"
GS Sandhu,BBL,Bowler,0,Experienced Wicket-Takers
GT Griffiths,T20_Blast,Bowler,0,Experienced Wicket-Takers
Ghulam Mudassar,PSL,Bowler,2,Developing Bowlers
H Kerr,T20_Blast,Bowler,1,Recent-Form Strike Bowlers
HF Gurney,BBL,Bowler,3,"Economical Bowlers, Low Recent Activity"
HF Gurney,T20_Blast,Bowler,0,Experienced Wicket-Takers
HNA Conway,BBL,Bowler,2,Developing Bowlers
HR Shokeen,IPL,Bowler,2,Developing Bowlers
HR Walsh,CPL,Bowler,3,"Economical Bowlers, Low Recent Activity"
HR Walsh,T20_Blast,Bowler,2,Developing Bowlers
HT Crocombe,T20_Blast,Bowler,2,Developing Bowlers
HTRY Thornton,BBL,Bowler,1,Recent-Form Strike Bowlers
HV Patel,IPL,Bowler,0,Experienced Wicket-Takers
HW Podmore,T20_Blast,Bowler,2,Developing Bowlers
Haris Rauf,BBL,Bowler,1,Recent-Form Strike Bowlers
Haris Rauf,PSL,Bowler,0,Experienced Wicket-Takers
Harmeet Singh,IPL,Bowler,3,"Economical Bowlers, Low Recent Activity"
Harshit Rana,IPL,Bowler,1,Recent-Form Strike Bowlers
Hasan Ali,PSL,Bowler,0,Experienced Wicket-Takers
Hasan Ali,T20_Blast,Bowler,1,Recent-Form Strike Bowlers
Hassan Khan,PSL,Bowler,3,"Economical Bowlers, Low Recent Activity"
I Khan,CPL,Bowler,3,"Economical Bowlers, Low Recent Activity"
I Sharma,IPL,Bowler,0,Experienced Wicket-Takers
I Udana,IPL,Bowler,2,Developing Bowlers
IAA Thomas,T20_Blast,Bowler,2,Developing Bowlers
IC Pandey,IPL,Bowler,3,"Economical Bowlers, Low Recent Activity"
IS Sodhi,T20_Blast,Bowler,0,Experienced Wicket-Takers
Ihsanullah,PSL,Bowler,1,Recent-Form Strike Bowlers
Imran Khalid,PSL,Bowler,3,"Economical Bowlers, Low Recent Activity"
Imran Qayyum,T20_Blast,Bowler,3,"Economical Bowlers, Low Recent Activity"
Imran Tahir,CPL,Bowler,0,Experienced Wicket-Takers
Imran Tahir,IPL,Bowler,3,"Economical Bowlers, Low Recent Activity"
Imran Tahir,PSL,Bowler,0,Experienced Wicket-Takers
Imran Tahir,T20_Blast,Bowler,3,"Economical Bowlers, Low Recent Activity"
Iqbal Abdulla,IPL,Bowler,3,"Economical Bowlers, Low Recent Activity"
J Bishop,CPL,Bowler,3,"Economical Bowlers, Low Recent Activity"
J Botha,CPL,Bowler,3,"Economical Bowlers, Low Recent Activity"
J Glen,CPL,Bowler,3,"Economical Bowlers, Low Recent Activity"
J Hull,T20_Blast,Bowler,1,Recent-Form Strike Bowlers
J Little,IPL,Bowler,2,Developing Bowlers
J Overton,BBL,Bowler,1,Recent-Form Strike Bowlers
J Royal,CPL,Bowler,3,"Economical Bowlers, Low Recent Activity"
J Shaw,T20_Blast,Bowler,0,Experienced Wicket-Takers
J Suchith,IPL,Bowler,1,Recent-Form Strike Bowlers
J Syed Mohammad,IPL,Bowler,2,Developing Bowlers
J Theron,CPL,Bowler,3,"Economical Bowlers, Low Recent Activity"
J Theron,IPL,Bowler,3,"Economical Bowlers, Low Recent Activity"
J Yadav,IPL,Bowler,3,"Economical Bowlers, Low Recent Activity"
JA Brooks,T20_Blast,Bowler,1,Recent-Form Strike Bowlers
JA Chohan,T20_Blast,Bowler,1,Recent-Form Strike Bowlers
JA Porter,T20_Blast,Bowler,2,Developing Bowlers
JA Prestwidge,BBL,Bowler,2,Developing Bowlers
JA Richardson,BBL,Bowler,0,Experienced Wicket-Takers
JA Sinclair,CPL,Bowler,2,Developing Bowlers
JA Turner,T20_Blast,Bowler,1,Recent-Form Strike Bowlers
JAR Harris,T20_Blast,Bowler,2,Developing Bowlers
JB Lintott,T20_Blast,Bowler,0,Experienced Wicket-Takers
JC Archer,BBL,Bowler,3,"Economical Bowlers, Low Recent Activity"
JC Archer,T20_Blast,Bowler,1,Recent-Form Strike Bowlers
JC Tongue,T20_Blast,Bowler,2,Developing Bowlers
JC Tredwell,T20_Blast,Bowler,3,"Economical Bowlers, Low Recent Activity"
JD Cook,BBL,Bowler,3,"Economical Bowlers, Low Recent Activity"
JD Shantry,T20_Blast,Bowler,2,Developing Bowlers
JD Unadkat,IPL,Bowler,0,Experienced Wicket-Takers
JDP Oram,IPL,Bowler,2,Developing Bowlers
JDS Neesham,CPL,Bowler,2,Developing Bowlers
JDS Neesham,IPL,Bowler,2,Developing Bowlers
JE Burke,T20_Blast,Bowler,2,Developing Bowlers
JE Poysden,T20_Blast,Bowler,3,"Economical Bowlers, Low Recent Activity"
JE Taylor,CPL,Bowler,2,Developing Bowlers
JE Taylor,T20_Blast,Bowler,3,"Economical Bowlers, Low Recent Activity"
JH Davey,T20_Blast,Bowler,1,Recent-Form Strike Bowlers
JH Plom,T20_Blast,Bowler,2,Developing Bowlers
JJ Bumrah,IPL,Bowler,0,Experienced Wicket-Takers
JJ Carson,T20_Blast,Bowler,2,Developing Bowlers
JK Lalor,BBL,Bowler,0,Experienced Wicket-Takers
JKH Naik,T20_Blast,Bowler,3,"Economical Bowlers, Low Recent Activity"
JL Jaggesar,CPL,Bowler,3,"Economical Bowlers, Low Recent Activity"
JL Pattinson,BBL,Bowler,3,"Economical Bowlers, Low Recent Activity"
JL Pattinson,IPL,Bowler,2,Developing Bowlers
JM Bird,BBL,Bowler,0,Experienced Wicket-Takers
JM Blatherwick,T20_Blast,Bowler,2,Developing Bowlers
JM De Caires,T20_Blast,Bowler,2,Developing Bowlers
JM Holland,BBL,Bowler,2,Developing Bowlers
JM Mennie,BBL,Bowler,2,Developing Bowlers
JNT Seales,CPL,Bowler,2,Developing Bowlers
JP Behrendorff,BBL,Bowler,0,Experienced Wicket-Takers
JP Behrendorff,IPL,Bowler,1,Recent-Form Strike Bowlers
JP Behrendorff,T20_Blast,Bowler,2,Developing Bowlers
