player_name,league,role,cluster,cluster_name
Mohsin Khan,IPL,Bowler,1,Developing Bowlers & Bowling All-Rounders
Mubasir Khan,PSL,Batsman,1,Developing Bowlers & Bowling All-Rounders
Muhammad Musa,PSL,Bowler,0,Elite Bowlers & Bowling All-Rounders
Mujeeb Ur Rahman,BBL,Bowler,1,Developing Bowlers & Bowling All-Rounders
Mujeeb Ur Rahman,CPL,Bowler,0,Elite Bowlers & Bowling All-Rounders
Mujeeb Ur Rahman,IPL,Bowler,1,Developing Bowlers & Bowling All-Rounders
Mujeeb Ur Rahman,PSL,Bowler,1,Developing Bowlers & Bowling All-Rounders
Mujeeb Ur Rahman,T20_Blast,Bowler,1,Developing Bowlers & Bowling All-Rounders
Mukesh Choudhary,IPL,Bowler,1,Developing Bowlers & Bowling All-Rounders
Mukesh Kumar,IPL,Bowler,1,Developing Bowlers & Bowling All-Rounders
Mustafizur Rahman,IPL,Bowler,1,Developing Bowlers & Bowling All-Rounders
N Jagadeesan,IPL,Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
N McAndrew,BBL,All-Rounder,0,Elite Bowlers & Bowling All-Rounders
N McAndrew,T20_Blast,Bowler,0,Elite Bowlers & Bowling All-Rounders
N Pooran,CPL,Wicketkeeper-Batsman,3,Elite Established Batters
N Pooran,IPL,Wicketkeeper-Batsman,3,Elite Established Batters
N Rana,IPL,Batsman,3,Elite Established Batters
N Saini,IPL,Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
N Wadhera,IPL,Batsman,3,Elite Established Batters
NA Gordon,CPL,Bowler,1,Developing Bowlers & Bowling All-Rounders
NA McSweeney,BBL,Batsman,0,Elite Bowlers & Bowling All-Rounders
NA Sowter,T20_Blast,Bowler,0,Elite Bowlers & Bowling All-Rounders
NB Cornwell,T20_Blast,Bowler,1,Developing Bowlers & Bowling All-Rounders
NCR Larkin,BBL,Batsman,3,Elite Established Batters
ND Stewart,CPL,Bowler,1,Developing Bowlers & Bowling All-Rounders
NE Bonner,CPL,Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
NJ Dexter,T20_Blast,All-Rounder,1,Developing Bowlers & Bowling All-Rounders
NJ Maddinson,BBL,Batsman,3,Elite Established Batters
NJ Maddinson,T20_Blast,Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
NJ O'Brien,T20_Blast,Wicketkeeper-Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
NJ Reardon,BBL,Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
NJ Rimmington,BBL,Bowler,1,Developing Bowlers & Bowling All-Rounders
NJ Rimmington,T20_Blast,Bowler,1,Developing Bowlers & Bowling All-Rounders
NJ Selman,T20_Blast,Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
NL Buck,T20_Blast,Bowler,0,Elite Bowlers & Bowling All-Rounders
NLJ Browne,T20_Blast,Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
NLTC Perera,CPL,Bowler,1,Developing Bowlers & Bowling All-Rounders
NLTC Perera,IPL,All-Rounder,1,Developing Bowlers & Bowling All-Rounders
NLTC Perera,PSL,Bowler,1,Developing Bowlers & Bowling All-Rounders
NM Coulter-Nile,BBL,All-Rounder,0,Elite Bowlers & Bowling All-Rounders
NM Coulter-Nile,IPL,Bowler,1,Developing Bowlers & Bowling All-Rounders
NM Hauritz,BBL,Bowler,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
NM Lyon,BBL,Bowler,1,Developing Bowlers & Bowling All-Rounders
NO Miller,CPL,Bowler,1,Developing Bowlers & Bowling All-Rounders
NR Hobson,BBL,Batsman,3,Elite Established Batters
NR Welch,T20_Blast,Batsman,3,Elite Established Batters
NRD Compton,T20_Blast,Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
NRJ Young,CPL,Bowler,1,Developing Bowlers & Bowling All-Rounders
NRT Gubbins,T20_Blast,Batsman,1,Developing Bowlers & Bowling All-Rounders
NT Broom,T20_Blast,Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
NT Ellis,BBL,All-Rounder,0,Elite Bowlers & Bowling All-Rounders
NT Ellis,IPL,Bowler,1,Developing Bowlers & Bowling All-Rounders
NT Ellis,T20_Blast,Bowler,0,Elite Bowlers & Bowling All-Rounders
NV Ojha,IPL,Wicketkeeper-Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
Najibullah Zadran,CPL,Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
Naseem Shah,PSL,Bowler,0,Elite Bowlers & Bowling All-Rounders
Navdeep Saini,IPL,Bowler,0,Elite Bowlers & Bowling All-Rounders
Naveen-ul-Haq,CPL,Bowler,1,Developing Bowlers & Bowling All-Rounders
Naveen-ul-Haq,IPL,Bowler,1,Developing Bowlers & Bowling All-Rounders
Naveen-ul-Haq,PSL,Bowler,0,Elite Bowlers & Bowling All-Rounders
Naveen-ul-Haq,T20_Blast,Bowler,0,Elite Bowlers & Bowling All-Rounders
Nikhil Chaudhary,BBL,Batsman,3,Elite Established Batters
Nithish Kumar Reddy,IPL,Batsman,3,Elite Established Batters
Noor Ahmad,CPL,Bowler,1,Developing Bowlers & Bowling All-Rounders
Noor Ahmad,IPL,Bowler,1,Developing Bowlers & Bowling All-Rounders
O Davies,BBL,Batsman,3,Elite Established Batters
O Thomas,CPL,Bowler,1,Developing Bowlers & Bowling All-Rounders
OA Shah,BBL,Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
OA Shah,IPL,Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
OA Shah,T20_Blast,Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
OB Cox,T20_Blast,Wicketkeeper-Batsman,3,Elite Established Batters
OC McCoy,CPL,Bowler,0,Elite Bowlers & Bowling All-Rounders
OE Robinson,T20_Blast,Bowler,0,Elite Bowlers & Bowling All-Rounders
OF Smith,CPL,All-Rounder,0,Elite Bowlers & Bowling All-Rounders
OG Robinson,T20_Blast,Wicketkeeper-Batsman,3,Elite Established Batters
OJ Carter,T20_Blast,Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
OJ Hannon-Dalby,T20_Blast,Bowler,1,Developing Bowlers & Bowling All-Rounders
OJ Pope,T20_Blast,Wicketkeeper-Batsman,3,Elite Established Batters
OJ Price,T20_Blast,All-Rounder,0,Elite Bowlers & Bowling All-Rounders
OP Rayner,T20_Blast,Bowler,1,Developing Bowlers & Bowling All-Rounders
OP Stone,T20_Blast,Bowler,0,Elite Bowlers & Bowling All-Rounders
ORT Sale,T20_Blast,Bowler,1,Developing Bowlers & Bowling All-Rounders
P Awana,IPL,Bowler,1,Developing Bowlers & Bowling All-Rounders
P Coughlin,T20_Blast,All-Rounder,0,Elite Bowlers & Bowling All-Rounders
P Dogra,IPL,Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
P Hatzoglou,BBL,Bowler,1,Developing Bowlers & Bowling All-Rounders
P Hatzoglou,T20_Blast,Bowler,0,Elite Bowlers & Bowling All-Rounders
P Kumar,IPL,Bowler,1,Developing Bowlers & Bowling All-Rounders
P Mustard,T20_Blast,Wicketkeeper-Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
P Negi,IPL,All-Rounder,1,Developing Bowlers & Bowling All-Rounders
P Simran Singh,IPL,Batsman,3,Elite Established Batters
P Sisodiya,T20_Blast,Bowler,0,Elite Bowlers & Bowling All-Rounders
PA Patel,IPL,Wicketkeeper-Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
PA Reddy,IPL,Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
PA van Meekeren,T20_Blast,Bowler,0,Elite Bowlers & Bowling All-Rounders
PBB Rajapaksa,CPL,Batsman,3,Elite Established Batters
PBB Rajapaksa,IPL,Batsman,3,Elite Established Batters
PC Valthaty,IPL,Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
PD Collingwood,T20_Blast,All-Rounder,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
PD Salt,BBL,Wicketkeeper-Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
PD Salt,IPL,Wicketkeeper-Batsman,3,Elite Established Batters
PD Salt,PSL,Wicketkeeper-Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
PD Salt,T20_Blast,Wicketkeeper-Batsman,3,Elite Established Batters
PD Trego,T20_Blast,Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
