player_name,league,target_season,cutoff_season,forecast_prob_poor,forecast_prob_average,forecast_prob_elite,role,recent_form,recent_form_percentile,n_recent_seasons_used,reliability,reliability_percentile,forecast_expected_tier,forecast_normalized,forecast_predicted_tier,eligible,forecast_model,forecast_model_status,rf_normalized,rf_prediction_available,final_score,weights_renormalized,effective_weight_rf,effective_weight_recent_form,effective_weight_reliability,forecast_contribution,recent_form_contribution,reliability_contribution,selection_scenario,objective_value
Mohammad Amir,CPL,2024,2023,0.09244488,0.1936277,0.71392745,Bowler,80.99666666666667,0.9047619047619048,2,0.9333,0.7962962962962963,1.6214826,0.8107413,Elite,1,FT-Transformer,frozen_primary,0.8107413,1,0.8107413,False,1.0,0.0,0.0,0.8107413,0.0,0.0,CPL_XI,7.907733595
SD Hope,CPL,2024,2023,0.108786635,0.44248512,0.44872823,Wicketkeeper-Batsman,75.86600000000001,1.0,3,1.0,0.7142857142857143,1.33994158,0.66997079,Elite,1,FT-Transformer,frozen_primary,0.66997079,1,0.66997079,False,1.0,0.0,0.0,0.66997079,0.0,0.0,CPL_XI,7.907733595
SO Hetmyer,CPL,2024,2023,0.21046332,0.53659433,0.25294238,Batsman,49.504000000000005,0.5833333333333334,3,1.0,0.8958333333333334,1.04247909,0.521239545,Average,1,FT-Transformer,frozen_primary,0.521239545,1,0.521239545,False,1.0,0.0,0.0,0.521239545,0.0,0.0,CPL_XI,7.907733595
SP Narine,CPL,2024,2023,0.08288666,0.21202578,0.70508754,All-Rounder,69.69500000000001,0.6842105263157895,3,1.0,0.631578947368421,1.62220086,0.81110043,Elite,1,FT-Transformer,frozen_primary,0.81110043,1,0.81110043,False,1.0,0.0,0.0,0.81110043,0.0,0.0,CPL_XI,7.907733595
B Kumar,IPL,2024,2023,0.07266284,0.14520167,0.7821355,Bowler,72.787,0.7959183673469388,3,1.0,0.8194444444444444,1.70947267,0.854736335,Elite,1,FT-Transformer,frozen_primary,0.854736335,1,0.854736335,False,1.0,0.0,0.0,0.854736335,0.0,0.0,IPL_XI,8.991990640000001
F du Plessis,IPL,2024,2023,0.08028965,0.3119314,0.6077789,Batsman,83.686,0.9791666666666666,3,1.0,0.7741935483870968,1.5274892,0.7637446,Elite,1,FT-Transformer,frozen_primary,0.7637446,1,0.7637446,False,1.0,0.0,0.0,0.7637446,0.0,0.0,IPL_XI,8.991990640000001
MM Sharma,IPL,2024,2023,0.08470769,0.14624245,0.7690498,Bowler,93.09,1.0,1,1.0,0.8194444444444444,1.68434205,0.842171025,Elite,1,FT-Transformer,frozen_primary,0.842171025,1,0.842171025,False,1.0,0.0,0.0,0.842171025,0.0,0.0,IPL_XI,8.991990640000001
PP Chawla,IPL,2024,2023,0.07022355,0.14080134,0.7889752,All-Rounder,82.90714285714287,0.9545454545454546,2,1.0,0.6136363636363636,1.71875174,0.85937587,Elite,1,FT-Transformer,frozen_primary,0.85937587,1,0.85937587,False,1.0,0.0,0.0,0.85937587,0.0,0.0,IPL_XI,8.991990640000001
RA Jadeja,IPL,2024,2023,0.06181594,0.16558027,0.77260387,All-Rounder,74.09500000000001,0.9090909090909092,3,1.0,0.6136363636363636,1.71078801,0.855394005,Elite,1,FT-Transformer,frozen_primary,0.855394005,1,0.855394005,False,1.0,0.0,0.0,0.855394005,0.0,0.0,IPL_XI,8.991990640000001
Rashid Khan,IPL,2024,2023,0.06181584,0.15750392,0.78068024,All-Rounder,94.81300000000002,1.0,3,1.0,0.6136363636363636,1.7188644,0.8594322,Elite,1,FT-Transformer,frozen_primary,0.8594322,1,0.8594322,False,1.0,0.0,0.0,0.8594322,0.0,0.0,IPL_XI,8.991990640000001
Ravi Bishnoi,IPL,2024,2023,0.09065642,0.15785316,0.7514904,Bowler,75.504,0.8775510204081632,3,1.0,0.8194444444444444,1.66083396,0.83041698,Elite,1,FT-Transformer,frozen_primary,0.83041698,1,0.83041698,False,1.0,0.0,0.0,0.83041698,0.0,0.0,IPL_XI,8.991990640000001
