player_name,league,role,cluster,cluster_name
Shoaib Malik,PSL,All-Rounder,1,Balanced Established All-Rounders
Sohail Khan,PSL,All-Rounder,2,Low-Recent-Activity All-Rounders
Sohail Tanvir,CPL,All-Rounder,2,Low-Recent-Activity All-Rounders
Sohail Tanvir,PSL,All-Rounder,0,Bowling-Oriented All-Rounders
T van der Gugten,T20_Blast,All-Rounder,0,Bowling-Oriented All-Rounders
TA Lammonby,T20_Blast,All-Rounder,3,Developing All-Rounders
TAI Taylor,T20_Blast,All-Rounder,0,Bowling-Oriented All-Rounders
TK Curran,BBL,All-Rounder,3,Developing All-Rounders
TK Curran,T20_Blast,All-Rounder,0,Bowling-Oriented All-Rounders
TM Dilshan,IPL,All-Rounder,2,Low-Recent-Activity All-Rounders
TM Head,BBL,All-Rounder,2,Low-Recent-Activity All-Rounders
TS Rogers,BBL,All-Rounder,0,Bowling-Oriented All-Rounders
TS Roland-Jones,T20_Blast,All-Rounder,0,Bowling-Oriented All-Rounders
TT Bresnan,T20_Blast,All-Rounder,2,Low-Recent-Activity All-Rounders
U Arshad,T20_Blast,All-Rounder,2,Low-Recent-Activity All-Rounders
W Sutherland,BBL,All-Rounder,3,Developing All-Rounders
WAT Beer,T20_Blast,All-Rounder,0,Bowling-Oriented All-Rounders
WD Parnell,T20_Blast,All-Rounder,0,Bowling-Oriented All-Rounders
WG Jacks,T20_Blast,All-Rounder,1,Balanced Established All-Rounders
WJ Durston,T20_Blast,All-Rounder,2,Low-Recent-Activity All-Rounders
WJ Weighell,T20_Blast,All-Rounder,3,Developing All-Rounders
WL Madsen,T20_Blast,All-Rounder,1,Balanced Established All-Rounders
WMH Rhodes,T20_Blast,All-Rounder,2,Low-Recent-Activity All-Rounders
WR Smith,T20_Blast,All-Rounder,2,Low-Recent-Activity All-Rounders
Wahab Riaz,PSL,All-Rounder,0,Bowling-Oriented All-Rounders
Washington Sundar,IPL,All-Rounder,3,Developing All-Rounders
YK Pathan,IPL,All-Rounder,1,Balanced Established All-Rounders
Yuvraj Singh,IPL,All-Rounder,2,Low-Recent-Activity All-Rounders
ZJ Chappell,T20_Blast,All-Rounder,0,Bowling-Oriented All-Rounders
ZS Ansari,T20_Blast,All-Rounder,2,Low-Recent-Activity All-Rounders
