player_name,league,role,cluster,cluster_name
CJ Ferguson,T20_Blast,Batsman,0,"Established Batters, Low Recent Activity"
CJ Simmons,BBL,Batsman,0,"Established Batters, Low Recent Activity"
CL White,BBL,Batsman,0,"Established Batters, Low Recent Activity"
CL White,IPL,Batsman,0,"Established Batters, Low Recent Activity"
CM Gautam,IPL,Wicketkeeper-Batsman,3,Developing Batters
CMW Read,T20_Blast,Wicketkeeper-Batsman,0,"Established Batters, Low Recent Activity"
CP Jewell,BBL,Batsman,2,Recent-Form Batters
CS Delport,CPL,Batsman,3,Developing Batters
CS Delport,PSL,Batsman,0,"Established Batters, Low Recent Activity"
CS MacLeod,T20_Blast,Batsman,0,"Established Batters, Low Recent Activity"
CT Bancroft,BBL,Wicketkeeper-Batsman,1,Elite High-Volume Batters
CT Bancroft,T20_Blast,Wicketkeeper-Batsman,2,Recent-Form Batters
Callum Taylor,T20_Blast,Batsman,3,Developing Batters
Craig Cachopa,T20_Blast,Batsman,0,"Established Batters, Low Recent Activity"
D Brevis,IPL,Batsman,2,Recent-Form Batters
D Elgar,T20_Blast,Batsman,2,Recent-Form Batters
D Ferreira,T20_Blast,Wicketkeeper-Batsman,2,Recent-Form Batters
D Padikkal,IPL,Batsman,2,Recent-Form Batters
D Pretorius,T20_Blast,Batsman,0,"Established Batters, Low Recent Activity"
D Ramdin,CPL,Wicketkeeper-Batsman,0,"Established Batters, Low Recent Activity"
D Smit,T20_Blast,Wicketkeeper-Batsman,3,Developing Batters
DA Miller,BBL,Batsman,3,Developing Batters
DA Miller,CPL,Batsman,2,Recent-Form Batters
DA Miller,IPL,Batsman,1,Elite High-Volume Batters
DA Warner,BBL,Batsman,2,Recent-Form Batters
DA Warner,IPL,Batsman,1,Elite High-Volume Batters
DB Das,IPL,Batsman,3,Developing Batters
DB Ravi Teja,IPL,Batsman,3,Developing Batters
DC Thomas,CPL,Wicketkeeper-Batsman,0,"Established Batters, Low Recent Activity"
DG Bedingham,T20_Blast,Batsman,2,Recent-Form Batters
DH Yagnik,IPL,Wicketkeeper-Batsman,3,Developing Batters
DJ Bell-Drummond,T20_Blast,Batsman,1,Elite High-Volume Batters
DJ Harris,BBL,Batsman,3,Developing Batters
DJ Hooda,IPL,Batsman,1,Elite High-Volume Batters
DJ Hussey,BBL,Batsman,0,"Established Batters, Low Recent Activity"
DJ Hussey,IPL,Batsman,0,"Established Batters, Low Recent Activity"
DJ Lincoln,T20_Blast,Batsman,3,Developing Batters
DJ Malan,BBL,Batsman,3,Developing Batters
DJ Malan,PSL,Batsman,2,Recent-Form Batters
DJ Malan,T20_Blast,Batsman,1,Elite High-Volume Batters
DJ Mitchell,IPL,Batsman,2,Recent-Form Batters
DJ Vilas,T20_Blast,Wicketkeeper-Batsman,1,Elite High-Volume Batters
