player_name,league,target_season,cutoff_season,forecast_prob_poor,forecast_prob_average,forecast_prob_elite,role,recent_form,recent_form_percentile,n_recent_seasons_used,reliability,reliability_percentile,forecast_expected_tier,forecast_normalized,forecast_predicted_tier,eligible,forecast_model,forecast_model_status
GJ Bell,T20_Blast,2024,2023,0.6733919,0.24444045,0.082167655,Batsman,14.45,0.1298701298701298,1,0.1333,0.1021505376344086,0.40877576000000004,0.20438788000000002,Poor,1,FT-Transformer,frozen_primary
GJ Maxwell,BBL,2024,2023,0.09017501,0.34829453,0.5615305,All-Rounder,67.15428571428572,0.6956521739130435,2,1.0,0.5869565217391305,1.47135553,0.735677765,Elite,1,FT-Transformer,frozen_primary
GJ Maxwell,IPL,2024,2023,0.09707421,0.3788746,0.5240512,All-Rounder,66.01000000000002,0.7272727272727273,3,1.0,0.6136363636363636,1.4269770000000002,0.7134885000000001,Elite,1,FT-Transformer,frozen_primary
GL van Buuren,T20_Blast,2024,2023,0.2200234,0.51297617,0.26700044,All-Rounder,50.42,0.2857142857142857,2,0.93335,0.1587301587301587,1.04697705,0.523488525,Average,1,FT-Transformer,frozen_primary
GLS Scrimshaw,T20_Blast,2024,2023,0.08815526,0.14914186,0.7627029,Bowler,82.882,0.967741935483871,3,1.0,0.7962962962962963,1.67454766,0.83727383,Elite,1,FT-Transformer,frozen_primary
GS Drissell,T20_Blast,2024,2023,0.59158397,0.2187938,0.18962228,Bowler,26.38,0.1935483870967742,1,0.1333,0.0802469135802469,0.59803836,0.29901918,Poor,1,FT-Transformer,frozen_primary
GS Sandhu,BBL,2024,2023,0.4518947,0.26358038,0.28452498,Bowler,48.21400000000001,0.34375,3,1.0,0.75,0.8326303399999999,0.41631516999999996,Poor,1,FT-Transformer,frozen_primary
H Kerr,BBL,2024,2023,0.3472691,0.38137907,0.27135184,All-Rounder,46.075,0.1739130434782608,3,0.9,0.0652173913043478,0.92408275,0.462041375,Average,1,FT-Transformer,frozen_primary
H Klaasen,IPL,2024,2023,0.11574452,0.455607,0.42864844,Wicketkeeper-Batsman,99.26,1.0,1,0.5667,0.2,1.31290388,0.65645194,Average,1,FT-Transformer,frozen_primary
H McKenzie,BBL,2024,2023,0.5025172,0.28642792,0.21105482,Bowler,,,0,0.1,0.1071428571428571,0.70853756,0.35426878,Poor,1,FT-Transformer,frozen_primary
H Sharma,IPL,2024,2023,0.72368073,0.16833794,0.10798131,Bowler,,,0,0.0333,0.0208333333333333,0.38430056,0.19215028,Poor,1,FT-Transformer,frozen_primary
HD Ward,T20_Blast,2024,2023,0.3871749,0.46375653,0.1490686,Batsman,48.38333333333334,0.5714285714285714,2,0.8,0.5,0.7618937299999999,0.38094686499999997,Average,1,FT-Transformer,frozen_primary
HE van der Dussen,PSL,2024,2023,0.44366267,0.42611498,0.1302224,Batsman,,,0,0.2,0.1764705882352941,0.68655978,0.34327989,Poor,1,FT-Transformer,frozen_primary
HH Pandya,IPL,2024,2023,0.07954619,0.29564118,0.6248126,All-Rounder,57.02500000000001,0.3181818181818182,3,1.0,0.6136363636363636,1.5452663800000002,0.7726331900000001,Elite,1,FT-Transformer,frozen_primary
HJ Nielsen,BBL,2024,2023,0.50551474,0.37859923,0.115886055,Wicketkeeper-Batsman,38.705000000000005,0.4166666666666667,3,0.9667,0.1538461538461538,0.61037134,0.30518567,Poor,1,FT-Transformer,frozen_primary
HJ Swindells,T20_Blast,2024,2023,0.51540273,0.37215516,0.11244214,Wicketkeeper-Batsman,33.309,0.0454545454545454,3,0.9,0.0909090909090909,0.59703944,0.29851972,Poor,1,FT-Transformer,frozen_primary
